number,name,lng,lat,region
8341,Wellpark College of Natural Therapies,174.7305358,-36.8593671,Auckland Region
8351,Transpower Grid Skills,-72.6915658,41.7740994,Manawatu-Wanganui Region
8353,Psychosynthesis Training Programmes Ltd,174.7587749,-36.926509,Auckland Region
8356,Success Maker Education Centre,176.8439068,-39.6447645,Hawke's Bay Region
8357,Longlas Limited,175.2798619,-40.6312229,Manawatu-Wanganui Region
8360,Taranaki Educare Training Trust,174.0675918,-39.0574952,Taranaki Region
8365,Cornerstone Education Limited,176.2225989,-37.6791552,Bay of Plenty Region
8367,Step By Step Computer Services,174.7478494,-36.8705187,Auckland Region
8379,Tauranga Hair Design Academy Limited,176.1691156,-37.6803649,Bay of Plenty Region
8380,Life Care Consultants,175.2742713,-37.7811151,Waikato Region
8389,Royal New Zealand Plunket Trust,174.7755405,-41.2881357,Wellington Region
8395,QED Associates,174.8550602,-36.9355639,Auckland Region
8396,New Zealand College of Chiropractic,174.8269865,-36.899782,Auckland Region
8405,Land Based Training Ltd,175.0471338,-39.931833,Manawatu-Wanganui Region
8408,Agoge Training Limited,175.3088814,-37.7755838,Waikato Region
8415,Capital Training Limited,174.7755837,-41.2805295,Wellington Region
8425,Te Wananga Takiura O Nga Kura Kaupapa Maori o Aotearoa,174.7746587,-36.9119727,Auckland Region
8430,PACT Limited,174.9521354,-41.1872275,Wellington Region
8433,NETCOR Campus (NZ Education and Tourism Corporation),176.0877403,-38.6352136,Waikato Region
8434,The Training Bureau Limited,175.2851938,-37.7897535,Waikato Region
8437,Newton College of Business & Technology,174.756081,-36.8687861,Auckland Region
8449,NZ School of Commercial Diver Training,175.1477408,-37.5707237,Waikato Region
8454,Wood Wise,176.2655476,-38.1607375,Bay of Plenty Region
8455,Airways Training Centre,172.5583251,-43.4960408,Canterbury Region
8457,Pacific Intl Hotel Management School,174.1419061,-39.0361213,Taranaki Region
8458,Yoobee School of Design,174.76444,-36.856985,Auckland Region
8465,Endeavour Technical Training Limited,175.6013836,-40.3452921,Manawatu-Wanganui Region
8471,Vineyard College,174.6299435,-36.8876612,Auckland Region
8473,Premier Institute of Education,174.7710601,-36.7880165,Auckland Region
8475,Elim Leadership College,174.9153184,-36.9137128,Auckland Region
8476,Broadspectrum (New Zealand) Limited,174.6737415,-36.8778339,Auckland Region
8479,College of Natural Health and Homeopathy,174.7749837,-36.8923903,Auckland Region
8489,Solomon Group,174.900067,-37.0242425,Auckland Region
8490,NZ Institute of Sport,174.7837575,-41.2764947,Wellington Region
8491,Alpha Educational Institute,172.5608016,-43.4916312,Canterbury Region
8497,NZ Equine Education Trust,174.8711227,-41.2235013,Wellington Region
8498,Catholic Institute of Aotearoa New Zealand,174.7756565,-41.2757341,Wellington Region
8502,Te Kura Toi Whakaari O Aotearoa: New Zealand Drama School Incorporated,174.7746702,-41.3083689,Wellington Region
8503,NZ School of Dance,174.7746702,-41.3083689,Wellington Region
8504,Taratahi Agricultural Training Centre,175.6364818,-41.0039407,Wellington Region
8509,Whitecliffe College of Arts and Design,174.7842677,-36.8499275,Auckland Region
8524,ALI Education Limited,174.7643931,-36.8497844,Auckland Region
8530,Auckland Institute of Studies,174.7208374,-36.8735583,Auckland Region
8532,New Zealand Language Centres Limited,174.763744,-36.8454526,Auckland Region
8537,Dominion English Schools,-95.6376734,37.0367095,Auckland Region
8541,Canterbury College Limited,172.6379338,-43.5324035,Canterbury Region
8544,Languages International Ltd,174.768921,-36.8494793,Auckland Region
8546,New Horizon College,176.9169523,-39.4923303,Hawke's Bay Region
8550,IPU New Zealand ,175.6397107,-40.3879602,Manawatu-Wanganui Region
8552,Seafield School of English,174.7630138,-36.8478134,Auckland Region
8554,Southern Cross Language Institute,172.6255835,-43.5184754,Canterbury Region
8563,Laidlaw College Incorporated,174.6352101,-36.8589601,Auckland Region
8567,Faith Bible College,176.2388475,-37.7168048,Bay of Plenty Region
8571,EDENZ Colleges,174.7651311,-36.8556479,Auckland Region
8573,Alphacrucis International College,174.8057968,-36.9067066,Auckland Region
8582,Mount Maunganui Language Centre,176.1861379,-37.6440439,Bay of Plenty Region
8585,Worldwide School Limited,174.764482,-36.8497903,Auckland Region
8588,Air New Zealand Aviation Institute,174.782066,-36.9764178,Auckland Region
8589,International Aviation Academy of NZ Ltd,172.5368705,-43.4863981,Canterbury Region
8595,Nelson Aviation College Limited,172.9948978,-41.1231533,Tasman Region
8600,The Salvation Army Booth College of Mission,175.0494887,-41.1321682,Wellington Region
8601,National School of Aesthetics,172.6284416,-43.5426524,Canterbury Region
8603,Face and Beauty Academy,176.1689943,-37.6871774,Bay of Plenty Region
8609,Ashton Warner Nanny Academy,174.7277099,-36.6229097,Auckland Region
8613,Waikato School of Hairdressing Limited,175.2773487,-37.7855427,Waikato Region
8619,New Zealand Tertiary College,174.7951926,-36.8892921,Auckland Region
8621,The Hairdressing College,175.6034747,-40.3570698,Manawatu-Wanganui Region
8626,Hungry Creek Art And Crafts School,174.6600258,-36.4950451,Auckland Region
8630,Te Wananga O Aotearoa,175.3177617,-38.0041518,Waikato Region
8634,South Pacific Bible College,176.1358317,-37.6842107,Bay of Plenty Region
8637,Service Skills Centre,176.2512521,-38.1334338,Bay of Plenty Region
8638,Ardmore Flying School Ltd,-97.0186327,34.302181,Auckland Region
8640,New Zealand School of Tourism Limited,174.7655833,-36.846778,Auckland Region
8642,South Pacific College of Natural Medicine,174.8109729,-36.8975484,Auckland Region
8644,Crown Institute of Studies,174.7659851,-36.8500222,Auckland Region
8648,Meditrain Ltd,174.7785095,-36.9237907,Auckland Region
8655,South Seas Film and Television School,174.7303339,-36.7666585,Auckland Region
8657,Business College NZ Limited,174.8539359,-36.8984906,Auckland Region
8661,New Zealand Management Academies Ltd,174.8465003,-36.9141048,Auckland Region
8672,Barnardos,172.6473631,-43.5216476,Canterbury Region
8677,TAFE College (NZ) Ltd,174.7740287,-36.8714747,Auckland Region
8682,Kaplan International Colleges,174.7791212,-36.862739,Auckland Region
8688,Kokiri Marae Keriana Olsen Trust,174.9067409,-41.2423445,Wellington Region
8692,Feats Limited,174.282288,-39.5936987,Taranaki Region
8693,Workforce Development Limited,176.8913482,-39.4967852,Hawke's Bay Region
8694,Bethlehem Tertiary Institute,176.1103015,-37.7054475,Bay of Plenty Region
8714,Employers & Manufacturers Association Training Centre,174.7654932,-36.8651056,Auckland Region
8717,Good Shepherd College - Te Hepara Pai,174.751489,-36.8595102,Auckland Region
8723,Methodist Mission Southern,170.4630344,-45.8956364,Otago Region
8727,Hayseed Trust Inc,176.8567694,-39.5216936,Hawke's Bay Region
8735,Tupoho Whanau Trust PTE,175.0450791,-39.9249242,Manawatu-Wanganui Region
8737,Abel Tasman Educational Trust,172.9969656,-41.0842993,Tasman Region
8748,Kiwidotcom Training & Academic Institute,174.7093028,-36.7312477,Auckland Region
8769,Shalom Training Limited,173.2239654,-35.0487972,Northland Region
8809,Playcentre Education,174.8294657,-41.1560068,Wellington Region
8816,Alpha Training and Development Centre,174.2062635,-39.0589431,Taranaki Region
8824,Horizon Education,175.6089096,-40.3535392,Manawatu-Wanganui Region
8841,U-Turn Community Training Services Limited,174.0760223,-39.0574481,Taranaki Region
8854,Kiwi English Academy Ltd (Broadway),174.7785505,-36.8675766,Auckland Region
8858,Auckland Hotel & Chefs Training School,174.7704855,-36.8671088,Auckland Region
8872,Advance Training Centres Limited,174.6848499,-36.9059013,Auckland Region
8875,Maniapoto Training Agency,175.1670455,-38.334584,Waikato Region
8895,ATC New Zealand,175.3002751,-37.7801062,Waikato Region
8896,New Zealand Red Cross Incorporated,174.7774026,-41.2752439,Wellington Region
8925,KIWA,174.9408521,-37.0632895,Auckland Region
8931,Bizness Synergy Training Ltd,174.9264429,-36.8875937,Auckland Region
8932,Alphacrucis Limited,174.8057968,-36.9067066,Auckland Region
8941,Aperfield Montessori Trust,172.6040085,-43.5536583,Canterbury Region
